company,Rating,Discount,DiscountPrice,MRP,reviews,ScreenSize,Edition,SoundOutput,Warranty
TCL,4.2,58,25490,61990,233.625,108 cm (43 inch),2024,30 W,Unknown
TOSHIBA,4.1,38,32999,53999,233.625,139 cm (55 inch),2025,24 W,Unknown
TOSHIBA,4,48,18499,35999,52,108 cm (43 inch),2025,30 W,Unknown
Sansui,4.2,44,11990,21490,4,80 cm (32 inch),2024,20 W,1 Year
Samsung,4.1,30,79990,115100,147,163 cm (65 inch),2025,20 W,2 Year
Uniboom,4,70,6995,23990,233.625,80 cm (32 inch),2025,30 W,1 Year
Daiwa,4.2,55,7999,17990,233.625,80 cm (32 inch),2024,20 W,1 year
REDMI,4.2,52,11999,24999,233.625,80 cm (32 inch),2024,20 W,1 Year
Blaupunkt,4,34,32999,49999,4,139 cm (55 inch),2025,80 W,1 Year
realme,4.4,59,26699,65399,59,140 cm (55 inch),2025,40 W,Unknown
MOTOROLA,4.3,74,30399,119980,233.625,140 cm (55 inch),2023,20 W,1 year
Daiwa,4.1,64,16599,46999,96,109 cm (43 inch),2024,24 W,1 Year
TCL,3.9,41,12299,20990,3,97 cm (32 inch),2025,16 W,1 Year
Thomson,4.3,42,18399,31999,5,108 cm (43 inch),2024,40 W,1 Year
Sansui,4.2,52,18999,39990,233.625,109 cm (43 inch),2023,20 W,1 Year
Blaupunkt,4.4,40,15998,26999,3,108 cm (43 inch),2023,48 W,1 Year
Reliance,3.8,50,6439,12990,82,60 cm (24 inch),2025,24 W,1 Year
TCL,4.2,74,64990,201562.5,233.625,189 cm (75 inch),2024,35 W,Unknown
Uniboom,4,73,5995,22990,14,60 cm (24 inch),2025,30 W,1 Year
Acer,4.2,52,23999,49999,233.625,127 cm (50 inch),2023,36 W,1 Year
Acer,3.9,55,17999,39999,1,108 cm (43 inch),2024,30 W,1 Year
HUIDI,4.2,46,10999,58444.5,12,Unknown,2024,10 W,Unknown
Acer,3.8,59,20999,51990,3,108 cm (43 inch),2025,20 W,1 Year
KODAK,4.3,52,9499,19999,1,80 cm (32 inch),2024,48 W,1 Year
LG,4.4,46,60990,114990,2,164 cm (65 inch),2023,20 W,1 Year
